"filename", "language", "JSON", "Markdown", "JavaScript", "Properties", "comment", "blank", "total"
"d:\Mitesh\_WebSite\.env", "Properties", 0, 0, 0, 8, 0, 0, 8
"d:\Mitesh\_WebSite\README.md", "Markdown", 0, 1, 0, 0, 0, 1, 2
"d:\Mitesh\_WebSite\firebaseConf.json", "JSON", 12, 0, 0, 0, 0, 1, 13
"d:\Mitesh\_WebSite\package-lock.json", "JSON", 8190, 0, 0, 0, 0, 1, 8191
"d:\Mitesh\_WebSite\package.json", "JSON", 43, 0, 0, 0, 0, 1, 44
"d:\Mitesh\_WebSite\server\db\db.js", "JavaScript", 0, 0, 19, 0, 0, 4, 23
"d:\Mitesh\_WebSite\server\firebase\config.js", "JavaScript", 0, 0, 79, 0, 7, 20, 106
"d:\Mitesh\_WebSite\server\middleware\authMiddleware.js", "JavaScript", 0, 0, 166, 0, 18, 33, 217
"d:\Mitesh\_WebSite\server\routes\adminRoute\adminRoute.js", "JavaScript", 0, 0, 261, 0, 23, 63, 347
"d:\Mitesh\_WebSite\server\routes\authRoute\authRoutes.js", "JavaScript", 0, 0, 136, 0, 13, 43, 192
"d:\Mitesh\_WebSite\server\routes\buyerRoute\buyerRoute.js", "JavaScript", 0, 0, 378, 0, 31, 108, 517
"d:\Mitesh\_WebSite\server\routes\chatRoute\chatRoute.js", "JavaScript", 0, 0, 113, 0, 3, 31, 147
"d:\Mitesh\_WebSite\server\routes\productsRoute\productsRoute.js", "JavaScript", 0, 0, 34, 0, 11, 11, 56
"d:\Mitesh\_WebSite\server\routes\vendorRoute\vendorRoute.js", "JavaScript", 0, 0, 56, 0, 5, 8, 69
"d:\Mitesh\_WebSite\server\schema\chatSchema.js", "JavaScript", 0, 0, 19, 0, 0, 3, 22
"d:\Mitesh\_WebSite\server\schema\conversationIdSchema.js", "JavaScript", 0, 0, 9, 0, 0, 3, 12
"d:\Mitesh\_WebSite\server\schema\couponCodeSchema.js", "JavaScript", 0, 0, 13, 0, 0, 3, 16
"d:\Mitesh\_WebSite\server\schema\orderSchema.js", "JavaScript", 0, 0, 54, 0, 0, 3, 57
"d:\Mitesh\_WebSite\server\schema\productSchema.js", "JavaScript", 0, 0, 52, 0, 0, 3, 55
"d:\Mitesh\_WebSite\server\schema\userSchema.js", "JavaScript", 0, 0, 48, 0, 0, 3, 51
"d:\Mitesh\_WebSite\server\server.js", "JavaScript", 0, 0, 33, 0, 0, 8, 41
"d:\Mitesh\_WebSite\shoppingsite-e25c4-firebase-adminsdk-6npj3-c0ab41c0ae.json", "JSON", 12, 0, 0, 0, 0, 1, 13
"d:\Mitesh\_WebSite\socketIO\index.js", "JavaScript", 0, 0, 63, 0, 4, 18, 85
"d:\Mitesh\_WebSite\socketIO\package-lock.json", "JSON", 602, 0, 0, 0, 0, 1, 603
"d:\Mitesh\_WebSite\socketIO\package.json", "JSON", 16, 0, 0, 0, 0, 1, 17
"Total", "-", 8875, 1, 1533, 8, 115, 372, 10904
